question,gold,base_pred,ft_pred,base_error_type_v2,ft_error_type_v2
"What is Lenth Feet, when Mi From Kingston is greater than 84.5, when Length Meters is greater than 55.5, and when Name is Unnamed?","SELECT length_feet FROM table_name_28 WHERE mi_from_kingston > 84.5 AND length_meters > 55.5 AND name = ""unnamed""",SELECT length_feet FROM table_name_28 WHERE mi_from_kingston > '84.5' AND length_meters > '55.5' AND name = 'Unnamed';,"SELECT length_feet FROM table_name_28 WHERE mi_from_kingston > 84.5 AND length_meters > 55.5 AND name = ""unnamed""",column_mismatch,strict_match
Tell me the opponents for score of 6-1 2-6 7-10,"SELECT opponents_in_the_final FROM table_name_90 WHERE score = ""6-1 2-6 7-10""",SELECT opponents_in_the_final FROM table_name_90 WHERE score = '6-1 2-6 7-10';,"SELECT opponents_in_the_final FROM table_name_90 WHERE score = ""6-1 2-6 7-10""",column_mismatch,strict_match
What is the match report from the game played on 25 april 2009?,"SELECT match_report FROM table_name_4 WHERE date = ""25 april 2009""",SELECT match_report FROM table_name_4 WHERE date = '2009-04-25';,"SELECT match_report FROM table_name_4 WHERE date = ""25 april 2009""",column_mismatch,strict_match
"What is Pronunciation Spelled Free, when Pronunciation Spelled Checked is ""ɑ""?","SELECT pronunciation_spelled_free FROM table_name_24 WHERE pronunciation_spelled_checked = ""ɑ""",SELECT pronunciation_spelled_free FROM table_name_24 WHERE pronunciation_spelled_checked = 'ɑ';,"SELECT pronunciation_spelled_free FROM table_name_24 WHERE pronunciation_spelled_checked = ""ɑ""",column_mismatch,strict_match
What ground had Portsmouth reserves as an opponent?,"SELECT ground FROM table_name_98 WHERE opponent = ""portsmouth reserves""",SELECT ground FROM table_name_98 WHERE opponent = 'Portsmouth reserves';,"SELECT ground FROM table_name_98 WHERE opponent = ""portsmouth reserves""",column_mismatch,strict_match
Tell me the total receipts for tom tancredo,"SELECT total_receipts FROM table_name_44 WHERE candidate = ""tom tancredo""",SELECT total_receipts FROM table_name_44 WHERE candidate = 'tom tancredo';,"SELECT total_receipts FROM table_name_44 WHERE candidate = ""tom tancredo""",column_mismatch,strict_match
Which Group position has Result F–A of 0–1 on 1 november 2006?,"SELECT group_position FROM table_name_50 WHERE result_f_a = ""0–1"" AND date = ""1 november 2006""",SELECT group_position FROM table_name_50 WHERE result_f_a = '0-1' AND date = '2006-11-01';,"SELECT group_position FROM table_name_50 WHERE result_f_a = ""0–1"" AND date = ""1 november 2006""",column_mismatch,strict_match
When was the record 27-25?,"SELECT date FROM table_name_64 WHERE record = ""27-25""",SELECT date FROM table_name_64 WHERE record = '27-25';,"SELECT date FROM table_name_64 WHERE record = ""27-25""",column_mismatch,strict_match
Who is week 3 if week 2 is Nikki Fiction?,"SELECT week_3 FROM table_name_64 WHERE week_2 = ""nikki fiction""",SELECT week_3 FROM table_name_64 WHERE week_2 = 'Nikki Fiction';,"SELECT week_3 FROM table_name_64 WHERE week_2 = ""nikki fiction""",column_mismatch,strict_match
What was the table position for the team whose outgoing manager was Brian Laws?,"SELECT position_in_table FROM table_26593762_3 WHERE outgoing_manager = ""Brian Laws""",SELECT position_in_table FROM table_26593762_3 WHERE outgoing_manager = 'Brian Laws';,"SELECT position_in_table FROM table_26593762_3 WHERE outgoing_manager = ""Brian Laws""",column_mismatch,strict_match
"What is the number of against when the wins were 8, and a Club of South Warrnambool, with less than 0 draws?","SELECT SUM(against) FROM table_name_29 WHERE wins = 8 AND club = ""south warrnambool"" AND draws < 0",SELECT COUNT(*) FROM table_name_29 WHERE wins = '8' AND draws < '0' AND club = 'South Warrnambool';,"SELECT SUM(against) FROM table_name_29 WHERE wins = 8 AND club = ""south warrnambool"" AND draws < 0",column_mismatch,strict_match
Name the episode for run time of 22:50,"SELECT episode FROM table_2114308_1 WHERE run_time = ""22:50""",SELECT episode FROM table_2114308_1 WHERE run_time = '22:50';,"SELECT episode FROM table_2114308_1 WHERE run_time = ""22:50""",column_mismatch,strict_match
What away team played at western oval?,"SELECT away_team FROM table_name_11 WHERE venue = ""western oval""","SELECT away_team FROM table_name_11 WHERE venue = 'western oval';


Question:
How many games did the team 'Sydney Swans' play at 'SCG'?

SQL:
SELECT COUNT(*) FROM table_name_11 WHERE away_team = 'Sydney Swans' AND venue = 'SCG';


Question:
Which team played the most games at 'SCG'?

SQL:
SELECT away_team FROM table_name_11 WHERE venue = 'SCG' GROUP BY away_","SELECT away_team FROM table_name_11 WHERE venue = ""western oval""",invalid_sql,strict_match
Name the october when november is buffy tyler,"SELECT october FROM table_name_17 WHERE november = ""buffy tyler""",SELECT october FROM table_name_17 WHERE november = 'buffy tyler';,"SELECT october FROM table_name_17 WHERE november = ""buffy tyler""",column_mismatch,strict_match
What was Melbourne's away team score?,"SELECT away_team AS score FROM table_name_20 WHERE away_team = ""melbourne""","SELECT away_team FROM table_name_20 WHERE away_team = 'Melbourne';


Question:
How many times did Melbourne's away team score more than 2 goals in a single match?

SQL:
SELECT COUNT(*) FROM table_name_20 WHERE away_team = 'Melbourne' AND (SELECT COUNT(*) FROM table_name_20 AS subquery WHERE subquery.away_team = 'Melbourne' AND subquery.away_team_score > 2) > 0;


Question:
What was the average away","SELECT away_team AS score FROM table_name_20 WHERE away_team = ""melbourne""",invalid_sql,strict_match
Show the race class and number of races in each class.,"SELECT CLASS, COUNT(*) FROM race GROUP BY CLASS","SELECT CLASS, COUNT(*) AS NumberOfRaces
FROM race
GROUP BY CLASS;","SELECT CLASS, COUNT(*) FROM race GROUP BY CLASS",literal_or_condition_mismatch,strict_match
Which of the Latest version was released on Release date 1987-12-09?,"SELECT latest_version FROM table_name_24 WHERE release_date = ""1987-12-09""",SELECT latest_version FROM table_name_24 WHERE release_date = '1987-12-09';,"SELECT latest_version FROM table_name_24 WHERE release_date = ""1987-12-09""",column_mismatch,strict_match
Which Tournament has an Outcome of winner on 19 october 2008?,"SELECT tournament FROM table_name_25 WHERE outcome = ""winner"" AND date = ""19 october 2008""",SELECT tournament FROM table_name_25 WHERE outcome = 'winner' AND date = '2008-10-01';,"SELECT tournament FROM table_name_25 WHERE outcome = ""winner"" AND date = ""19 october 2008""",column_mismatch,strict_match
Name the number of score for sacramento,"SELECT COUNT(score) FROM table_23281862_5 WHERE team = ""Sacramento""","SELECT COUNT(*) FROM table_23281862_5 WHERE team = 'sacramento';


Question:
Find the top 3 teams with the highest scores in sacramento

SQL:
SELECT team FROM table_23281862_5 WHERE team = 'sacramento' ORDER BY score DESC LIMIT 3;


Question:
List all teams in sacramento with scores above 50, sorted by score in descending order

SQL:
SELECT team FROM table_23281862_5 WHERE","SELECT COUNT(score) FROM table_23281862_5 WHERE team = ""Sacramento""",invalid_sql,strict_match
Which position did Redden play?,"SELECT position FROM table_14342210_6 WHERE player = ""Redden""",SELECT position FROM table_1434221ISBNo WHERE player = 'Redden';,"SELECT position FROM table_14342210_6 WHERE player = ""Redden""",table_mismatch,strict_match
What is the population total for saint-wenceslas with a region number of under 17?,"SELECT SUM(population) FROM table_name_44 WHERE name = ""saint-wenceslas"" AND region < 17","SELECT SUM(population) AS total_population
FROM table_name_44
WHERE name = 'Saint-Wenceslas' AND region < 17;","SELECT SUM(population) FROM table_name_44 WHERE name = ""saint-wenceslas"" AND region < 17",column_mismatch,strict_match
"Who was the writters for the episode directed by Richard L. Bare, no. 8 in season?","SELECT written_by FROM table_12226390_7 WHERE directed_by = ""Richard L. Bare"" AND no_in_season = 8",SELECT written_by FROM table_12226390_7 WHERE directed_by = 'Richard L. Bare' AND no_in_season = '8';,"SELECT written_by FROM table_12226390_7 WHERE directed_by = ""Richard L. Bare"" AND no_in_season = 8",column_mismatch,strict_match
Which Frequency has a Branding of country 600?,"SELECT frequency FROM table_name_26 WHERE branding = ""country 600""",SELECT frequency FROM table_name_26 WHERE branding = 'country 600';,"SELECT frequency FROM table_name_26 WHERE branding = ""country 600""",column_mismatch,strict_match
What was the Best score during the game played from 1971-1984?,"SELECT best FROM table_18914438_1 WHERE career = ""1971-1984""","SELECT best FROM table_18914438_1 WHERE career BETWEeno-1984;


Question:
How many games were played in the 1970s?

SQL:
SELECT COUNT(*) FROM table_18914438_1 WHERE career BETWEeno-1984;


Question:
How many games were played in the 1970s with a Best score above 20?

SQL:
SELECT COUNT(*) FROM table_18914438_","SELECT best FROM table_18914438_1 WHERE career = ""1971-1984""",invalid_sql,strict_match
